Entidade,Código,Ano,Participação da reciclagem do lixo total regional,Participação da queima do lixo total regional,Participação do lixo descartado e mal gerido do total regional,Participação do lixo encaminhado para aterros do total regional
China,CHN,2000,4.7811875,8.821573,60.803017,25.594213
China,CHN,2001,5.210237,9.609698,59.054733,26.125332
China,CHN,2002,5.6417065,10.40487,57.293118,26.660315
China,CHN,2003,6.0726414,11.204407,55.523457,27.199492
China,CHN,2004,6.505385,12.010195,53.741825,27.742598
China,CHN,2005,6.9324255,12.820913,51.95479,28.291878
China,CHN,2006,7.361401,13.638992,50.15437,28.845242
China,CHN,2007,7.7904778,14.462739,48.343662,29.40313
China,CHN,2008,8.205644,15.287558,46.536137,29.970661
China,CHN,2009,8.62724,16.121347,44.71028,30.541138
China,CHN,2010,9.063556,16.963223,42.862103,31.111118
China,CHN,2011,9.495495,17.809065,41.007553,31.687883
China,CHN,2012,9.926934,18.663284,39.13956,32.27022
China,CHN,2013,10.358366,19.526173,37.258137,32.857323
China,CHN,2014,10.742684,20.402584,35.385983,33.468746
China,CHN,2015,11.2197,21.266891,33.464287,34.049118
China,CHN,2016,11.647163,22.14718,31.551327,34.65433
China,CHN,2017,12.039128,23.042185,29.63854,35.280148
China,CHN,2018,12.489243,23.932241,27.691025,35.887497
China,CHN,2019,12.801141,23.762764,27.052067,36.384026
India,IND,2000,5.072351,1.6886452,68.140015,25.098991
India,IND,2001,5.518129,1.8104163,67.0225,25.648987
India,IND,2002,5.967143,1.9341495,65.896065,26.202646
India,IND,2003,6.4143167,2.058212,64.76735,26.760122
India,IND,2004,6.8626175,2.183653,63.63214,27.321568
India,IND,2005,7.304126,2.3092675,62.497868,27.888737
India,IND,2006,7.748583,2.4366627,61.354862,28.459888
India,IND,2007,8.192793,2.5648549,60.207165,29.035204
India,IND,2008,8.615771,2.6906817,59.074093,29.619452
India,IND,2009,9.048954,2.819237,57.925507,30.206303
India,IND,2010,9.512734,2.9519954,56.745895,30.789371
India,IND,2011,9.96875,3.084561,55.567894,31.378803
India,IND,2012,10.419898,3.2184,54.38649,31.975197
India,IND,2013,10.86092,3.3541615,53.204285,32.58064
India,IND,2014,11.294254,3.4897249,52.02429,33.191742
India,IND,2015,11.762998,3.6219816,50.823193,33.79184
India,IND,2016,12.197806,3.757444,49.636204,34.40855
India,IND,2017,12.617458,3.8932753,48.45246,35.036797
India,IND,2018,13.01899,4.031769,47.269722,35.679527
India,IND,2019,13.333093,4.1608157,46.214355,36.29173
United States,USA,2000,2.3450744,15.26663,7.976449,74.41184
United States,USA,2001,2.4553704,15.470107,7.751578,74.322945
United States,USA,2002,2.5685005,15.676425,7.5254703,74.2296
United States,USA,2003,2.6816754,15.881963,7.2990794,74.13729
United States,USA,2004,2.797141,16.088884,7.0714564,74.04251
United States,USA,2005,2.9077706,16.295376,6.8430123,73.95384
United States,USA,2006,3.0194216,16.504599,6.613124,73.86286
United States,USA,2007,3.1306255,16.714312,6.382708,73.772354
United States,USA,2008,3.2331533,16.917627,6.153222,73.696
United States,USA,2009,3.3390622,17.125454,5.922219,73.61326
United States,USA,2010,3.4539635,17.337303,5.6899505,73.51878
United States,USA,2011,3.571022,17.546066,5.457105,73.4258
United States,USA,2012,3.6815886,17.757292,5.222023,73.339096
United States,USA,2013,3.785189,17.972448,4.9854603,73.25691
United States,USA,2014,3.8899853,18.185287,4.749489,73.17524
United States,USA,2015,4.0129786,18.395073,4.513753,73.07819
United States,USA,2016,4.1291475,18.607126,4.2783055,72.98541
United States,USA,2017,4.245349,18.82063,4.0425444,72.89149
United States,USA,2018,4.3634415,19.0355,3.8058376,72.79523
United States,USA,2019,4.488883,19.078592,3.552523,72.880005
World,OWID_WRL,2000,3.7033863,10.872603,26.019512,59.4045
World,OWID_WRL,2001,3.985935,11.335858,26.0388,58.6394
World,OWID_WRL,2002,4.2745633,11.796122,26.058777,57.870537
World,OWID_WRL,2003,4.564884,12.255621,26.044748,57.134747
World,OWID_WRL,2004,4.8600082,12.712106,26.01943,56.408455
World,OWID_WRL,2005,5.150596,13.169611,25.952034,55.72776
World,OWID_WRL,2006,5.4449744,13.623553,25.881447,55.050026
World,OWID_WRL,2007,5.7405467,14.075386,25.787539,54.396534
World,OWID_WRL,2008,6.0234685,14.530793,25.611216,53.834515
World,OWID_WRL,2009,6.3141065,14.980321,25.44969,53.255886
World,OWID_WRL,2010,6.6227803,15.421236,25.310413,52.645576
World,OWID_WRL,2011,6.9352217,15.873149,25.125038,52.06659
World,OWID_WRL,2012,7.2388344,16.3224,24.887909,51.550865
World,OWID_WRL,2013,7.537689,16.779276,24.610676,51.072365
World,OWID_WRL,2014,7.836343,17.219267,24.388899,50.555504
World,OWID_WRL,2015,8.164696,17.625141,24.083096,50.12707
World,OWID_WRL,2016,8.450203,18.084925,23.626896,49.837975
World,OWID_WRL,2017,8.747166,18.57843,23.1996,49.474804
World,OWID_WRL,2018,9.036769,19.083899,22.697952,49.18138
World,OWID_WRL,2019,9.292344,19.048033,22.45448,49.205143
